subj	block	trial	run_index	reverb	gender	attn	hits	misses	false_alarms	corr_rej	press_times	targ_letters	mask_letters
1	0	0	159	reverb	MF	switch	0	0	0	4	[]	['U' 'M' 'R' 'X']	['O' 'Y' 'K' 'O']
1	0	1	67	reverb	MF	maint.	1	0	0	3	[1.9841648234619482]	['Y' 'J' 'O' 'I']	['X' 'O' 'U' 'M']
1	0	2	68	reverb	MF	maint.	1	0	0	3	[2.1241664618661424]	['J' 'U' 'O' 'I']	['K' 'O' 'M' 'X']
1	0	3	80	reverb	MM	switch	0	1	0	4	[]	['O' 'I' 'U' 'Q']	['R' 'J' 'O' 'M']
1	0	4	81	reverb	MM	switch	2	0	0	2	[0.760031129679692, 2.0864831653969036]	['O' 'M' 'O' 'U']	['Y' 'K' 'Q' 'I']
1	0	5	102	reverb	MF	switch	1	0	0	3	[1.011935774555583]	['J' 'O' 'I' 'R']	['U' 'M' 'O' 'Y']
1	0	6	22	reverb	MF	maint.	2	0	0	2	[1.0682559187351521, 2.4600802818055216]	['I' 'O' 'Y' 'O']	['M' 'Q' 'J' 'R']
1	0	7	16	reverb	MM	maint.	1	0	0	3	[2.069198001146883]	['R' 'X' 'O' 'M']	['O' 'J' 'I' 'Q']
1	0	8	39	anech.	MF	maint.	0	0	0	4	[]	['M' 'Y' 'I' 'U']	['R' 'O' 'O' 'J']
1	0	9	16	anech.	MM	maint.	1	0	0	3	[2.1254362251167365]	['R' 'X' 'O' 'M']	['O' 'J' 'I' 'Q']
1	0	10	67	anech.	MF	maint.	1	0	0	3	[1.9991152617350703]	['Y' 'J' 'O' 'I']	['X' 'O' 'U' 'M']
1	0	11	151	anech.	MF	switch	1	0	0	3	[1.9362005406733842]	['Q' 'X' 'O' 'K']	['O' 'I' 'R' 'U']
1	0	12	46	reverb	MM	maint.	1	1	0	3	[2.011894814450725]	['J' 'O' 'O' 'X']	['M' 'U' 'Y' 'K']
1	0	13	151	reverb	MF	switch	1	0	0	3	[1.9590562791840749]	['Q' 'X' 'O' 'K']	['O' 'I' 'R' 'U']
1	0	14	93	reverb	MM	switch	1	0	0	3	[2.015663144097649]	['J' 'I' 'O' 'U']	['O' 'M' 'Q' 'K']
1	0	15	39	reverb	MF	maint.	0	0	1	3	[2.2149750143360367]	['M' 'Y' 'I' 'U']	['R' 'O' 'O' 'J']
1	0	16	68	anech.	MF	maint.	1	0	0	3	[2.048717948717949]	['J' 'U' 'O' 'I']	['K' 'O' 'M' 'X']
1	0	17	31	anech.	MF	maint.	1	0	0	3	[2.1213402146309495]	['J' 'I' 'O' 'M']	['O' 'X' 'Q' 'U']
