subj	block	trial	run_index	voc_chan	gap_len	attn	hits	misses	false_alarms	corr_rej	press_times	targ_letters	mask_letters
01	0	0	159	10	long	switch	0	0	0	4	[]	['P' 'D' 'E' 'V']	['O' 'V' 'D' 'O']
01	0	1	67	10	long	maint	1	0	1	2	[0.9432047186040795, 2.143253870729909]	['G' 'P' 'O' 'E']	['V' 'O' 'G' 'D']
01	0	2	68	10	long	maint	1	0	0	3	[2.0391742442860656]	['E' 'V' 'O' 'G']	['V' 'O' 'D' 'P']
01	0	3	80	10	short	switch	2	0	0	2	[0.7280003276808391, 1.8274514622757434]	['O' 'E' 'O' 'P']	['D' 'P' 'G' 'V']
01	0	4	81	10	short	switch	2	0	0	2	[0.5969689522405177, 2.093200622593594]	['O' 'D' 'E' 'O']	['G' 'V' 'P' 'D']
01	0	5	102	10	long	switch	2	0	0	2	[0.8968378799049725, 2.145178995658229]	['D' 'O' 'V' 'O']	['V' 'E' 'G' 'D']
01	0	6	22	10	long	maint	1	0	0	3	[0.916334889817318]	['E' 'O' 'V' 'G']	['D' 'P' 'G' 'O']
01	0	7	16	10	short	maint	2	0	0	2	[0.5581387728352585, 2.192446956664209]	['O' 'P' 'O' 'E']	['E' 'D' 'V' 'P']
01	0	8	39	20	long	maint	0	0	1	3	[1.7761694109936923]	['V' 'D' 'G' 'E']	['O' 'G' 'O' 'D']
01	0	9	16	20	short	maint	2	0	0	2	[0.5454821004341772, 1.9341525354304907]	['O' 'P' 'O' 'E']	['E' 'D' 'V' 'P']
01	0	10	67	20	long	maint	1	0	1	2	[0.8830343245678711, 2.1117145899893504]	['G' 'P' 'O' 'E']	['V' 'O' 'G' 'D']
01	0	11	151	20	long	switch	1	0	1	2	[0.9578684361431966, 2.089473253051528]	['E' 'D' 'O' 'P']	['V' 'O' 'D' 'G']
01	0	12	46	10	short	maint	2	0	0	2	[0.9407061522077496, 2.3439174244286067]	['P' 'O' 'O' 'D']	['D' 'E' 'V' 'G']
01	0	13	151	10	long	switch	1	0	1	2	[0.9277627590726634, 2.182739411812894]	['E' 'D' 'O' 'P']	['V' 'O' 'D' 'G']
