subj	block	trial	run_index	voc_chan	gap_len	attn	hit	miss	fals	crej	frsp	slot	attn_lett	mask_lett	targ	foil	press	onset	press_time	reax_time
01	0	0	159	10	long	switch	False	False	False	True	False	0	P	O	False	True	False	0.0		
01	0	0	159	10	long	switch	False	False	False	True	False	1	D	V	False	False	False	0.5		
01	0	0	159	10	long	switch	False	False	False	True	False	2	E	D	False	False	False	1.6		
01	0	0	159	10	long	switch	False	False	False	True	False	3	V	O	False	True	False	2.1		
01	0	1	67	10	long	maint.	False	False	False	True	False	0	G	V	False	False	False	0.0		
01	0	1	67	10	long	maint.	False	False	True	False	True	1	P	O	False	True	True	0.5	0.943204718604	0.443204718604
01	0	1	67	10	long	maint.	True	False	False	False	False	2	O	G	True	False	True	1.6	2.14325387073	0.54325387073
01	0	1	67	10	long	maint.	False	False	False	True	False	3	E	D	False	False	False	2.1		
01	0	2	68	10	long	maint.	False	False	False	True	False	0	E	V	False	False	False	0.0		
01	0	2	68	10	long	maint.	False	False	False	True	False	1	V	O	False	True	False	0.5		
01	0	2	68	10	long	maint.	True	False	False	False	False	2	O	D	True	False	True	1.6	2.03917424429	0.439174244286
01	0	2	68	10	long	maint.	False	False	False	True	False	3	G	P	False	False	False	2.1		
01	0	3	80	10	short	switch	True	False	False	False	False	0	O	D	True	False	True	0.0	0.728000327681	0.728000327681
01	0	3	80	10	short	switch	False	False	False	True	False	1	E	P	False	False	False	0.5		
01	0	3	80	10	short	switch	True	False	False	False	False	2	O	G	True	False	True	1.2	1.82745146228	0.627451462276
01	0	3	80	10	short	switch	False	False	False	True	False	3	P	V	False	False	False	1.7		
01	0	4	81	10	short	switch	True	False	False	False	False	0	O	G	True	False	True	0.0	0.596968952241	0.596968952241
01	0	4	81	10	short	switch	False	False	False	True	False	1	D	V	False	False	False	0.5		
01	0	4	81	10	short	switch	False	False	False	True	False	2	E	P	False	False	False	1.2		
01	0	4	81	10	short	switch	True	False	False	False	False	3	O	D	True	False	True	1.7	2.09320062259	0.393200622594
01	0	5	102	10	long	switch	False	False	False	True	False	0	D	V	False	False	False	0.0		
01	0	5	102	10	long	switch	True	False	False	False	False	1	O	E	True	False	True	0.5	0.896837879905	0.396837879905
01	0	5	102	10	long	switch	False	False	True	False	False	2	V	G	False	False	True	1.6	2.14517899566	0.545178995658
01	0	5	102	10	long	switch	False	True	False	False	False	3	O	D	True	False	False	2.1		
01	0	6	22	10	long	maint.	False	False	False	True	False	0	E	D	False	False	False	0.0		
01	0	6	22	10	long	maint.	True	False	False	False	False	1	O	P	True	False	True	0.5	0.916334889817	0.416334889817
01	0	6	22	10	long	maint.	False	False	False	True	False	2	V	G	False	False	False	1.6		
01	0	6	22	10	long	maint.	False	False	False	True	False	3	G	O	False	True	False	2.1		
01	0	7	16	10	short	maint.	True	False	False	False	False	0	O	E	True	False	True	0.0	0.558138772835	0.558138772835
01	0	7	16	10	short	maint.	False	False	False	True	False	1	P	D	False	False	False	0.5		
01	0	7	16	10	short	maint.	True	False	False	False	False	2	O	V	True	False	True	1.2	2.19244695666	0.992446956664
01	0	7	16	10	short	maint.	False	False	False	True	False	3	E	P	False	False	False	1.7		
01	0	8	39	20	long	maint.	False	False	False	True	False	0	V	O	False	True	False	0.0		
01	0	8	39	20	long	maint.	False	False	False	True	False	1	D	G	False	False	False	0.5		
01	0	8	39	20	long	maint.	False	False	True	False	True	2	G	O	False	True	True	1.6	1.77616941099	0.176169410994
01	0	8	39	20	long	maint.	False	False	False	True	False	3	E	D	False	False	False	2.1		
01	0	9	16	20	short	maint.	True	False	False	False	False	0	O	E	True	False	True	0.0	0.545482100434	0.545482100434
01	0	9	16	20	short	maint.	False	False	False	True	False	1	P	D	False	False	False	0.5		
01	0	9	16	20	short	maint.	True	False	False	False	False	2	O	V	True	False	True	1.2	1.93415253543	0.73415253543
01	0	9	16	20	short	maint.	False	False	False	True	False	3	E	P	False	False	False	1.7		
01	0	10	67	20	long	maint.	False	False	False	True	False	0	G	V	False	False	False	0.0		
01	0	10	67	20	long	maint.	False	False	True	False	True	1	P	O	False	True	True	0.5	0.883034324568	0.383034324568
01	0	10	67	20	long	maint.	True	False	False	False	False	2	O	G	True	False	True	1.6	2.11171458999	0.511714589989
01	0	10	67	20	long	maint.	False	False	False	True	False	3	E	D	False	False	False	2.1		
01	0	11	151	20	long	switch	False	False	False	True	False	0	E	V	False	False	False	0.0		
01	0	11	151	20	long	switch	False	False	True	False	True	1	D	O	False	True	True	0.5	0.957868436143	0.457868436143
01	0	11	151	20	long	switch	True	False	False	False	False	2	O	D	True	False	True	1.6	2.08947325305	0.489473253052
01	0	11	151	20	long	switch	False	False	False	True	False	3	P	G	False	False	False	2.1		
01	0	12	46	10	short	maint.	False	False	False	True	False	0	P	D	False	False	False	0.0		
01	0	12	46	10	short	maint.	True	False	False	False	False	1	O	E	True	False	True	0.5	0.940706152208	0.440706152208
01	0	12	46	10	short	maint.	False	True	False	False	False	2	O	V	True	False	False	1.2		
01	0	12	46	10	short	maint.	False	False	True	False	False	3	D	G	False	False	True	1.7	2.34391742443	0.643917424429
01	0	13	151	10	long	switch	False	False	False	True	False	0	E	V	False	False	False	0.0		
01	0	13	151	10	long	switch	False	False	True	False	True	1	D	O	False	True	True	0.5	0.927762759073	0.427762759073
01	0	13	151	10	long	switch	True	False	False	False	False	2	O	D	True	False	True	1.6	2.18273941181	0.582739411813
01	0	13	151	10	long	switch	False	False	False	True	False	3	P	G	False	False	False	2.1		
01	0	14	93	10	short	switch	True	False	False	False	False	0	O	E	True	False	True	0.0	0.512017694765	0.512017694765
01	0	14	93	10	short	switch	False	False	False	True	False	1	P	D	False	False	False	0.5		
01	0	14	93	10	short	switch	True	False	False	False	False	2	O	G	True	False	True	1.2	1.77920045875	0.579200458753
01	0	14	93	10	short	switch	False	False	False	True	False	3	G	V	False	False	False	1.7		
01	0	15	39	10	long	maint.	False	False	False	True	False	0	V	O	False	True	False	0.0		
