subj,hits,misses,false_alarms,corr_rej,dprime
1,304,120,88,888,1.90955943732
2,260,164,78,942,1.71333100105
3,340,84,67,873,2.30884183521
4,371,53,58,851,2.66583309695
5,293,131,122,865,1.65279858479
6,383,41,45,852,2.93348517725
7,360,64,52,868,2.60933251349
10,392,32,20,868,3.4235198286
11,336,88,63,881,2.30956624911
13,298,126,89,893,1.86551022196
14,372,52,27,881,3.03461069242
15,290,134,63,927,1.99901558354
16,346,78,59,875,2.42252112179
18,409,15,11,860,4.01382689257
20,409,15,6,865,4.22779865511
91,316,108,102,862,1.90481911988
