subj,hits,misses,false_alarms,corr_rej,dprime
1,398,38,42,840,3.015792249
2,337,99,57,886,2.2936508209
4,264,172,134,882,1.38280419758
6,375,61,84,821,2.39793670092
7,265,171,57,958,1.85696385007
8,377,59,54,849,2.65011933722
10,261,175,95,924,1.56794655682
11,385,51,30,865,3.01028305554
12,409,27,57,814,3.03736774211
13,346,90,67,867,2.27620108852
14,295,141,74,911,1.89270468956
55,320,116,74,886,2.04508700724
96,330,106,134,816,1.76834385555
97,310,126,127,843,1.67515271493
98,354,82,84,842,2.21605510899
99,425,11,11,844,4.15134489324
